,EstimatedCombinedRate,from_postcode,state,to_postcode_ taxrate
0,0.0,99501,AK,99927
1,0.0,19701,DE,19980
2,0.03,99547,AK,99840
3,0.04,99554,AK,99832
4,0.04,80116,CO,80135
5,0.04,96708,HI,96793
6,0.05,99555,AK,99921
7,0.05,35032,AL,36866
8,0.05,80126,CO,80163
9,0.02,99557,AK,99841
10,0.06,99559,AK,99922
11,0.06,35006,AL,36853
12,0.06,20001,DC,88888
13,0.06,34423,FL,34487
14,0.06,30003,GA,31144
15,0.06,50007,IA,52351
16,0.06,83201,ID,83877
17,0.035,99591,AK,99660
18,0.0785,99603,AK,99603
19,0.0785,86403,AZ,86442
20,0.0785,62002,IL,62269
21,0.07,99615,AK,99929
22,0.07,35014,AL,36922
23,0.07,72047,AR,72660
24,0.07,80018,CO,80751
25,0.07,32003,FL,34988
26,0.07,30011,GA,39897
27,0.07,50001,IA,52809
28,0.07,83638,ID,83671
29,0.07,60002,IL,62895
30,0.07,46001,IN,47997
31,0.065,99770,AK,99950
32,0.065,36025,AL,36483
33,0.065,72002,AR,72167
34,0.065,80520,CO,81648
35,0.065,32004,FL,34997
36,0.065,60470,IL,62893
37,0.01,99784,AK,99784
38,0.025,99928,AK,99928
39,0.1,35004,AL,36916
40,0.1,71601,AR,72933
41,0.1,86322,AZ,86322
42,0.1,90040,CA,91735
43,0.1,60004,IL,60827
44,0.09,35007,AL,36877
45,0.09,71744,AR,72858
46,0.09,94010,CA,95297
47,0.09,31501,GA,31564
48,0.09,83353,ID,83354
49,0.09,60011,IL,61866
50,0.085,35019,AL,36769
51,0.085,71631,AR,72951
52,0.085,85374,AZ,85390
53,0.085,91941,CA,95945
54,0.085,80010,CO,80614
55,0.085,33503,FL,33694
56,0.085,83278,ID,83278
57,0.085,60031,IL,62884
58,0.08,35034,AL,36879
59,0.08,71630,AR,72686
60,0.08,91763,CA,95799
61,0.08,80011,CO,80246
62,0.08,32321,FL,32360
63,0.08,30002,GA,39901
64,0.08,83340,ID,83340
65,0.08,60015,IL,62987
66,0.0875,35077,AL,36057
67,0.0875,71612,AR,72735
68,0.0875,90623,CA,95562
69,0.0875,80233,CO,80260
70,0.0875,60040,IL,62959
71,0.095,35142,AL,36870
72,0.095,71671,AR,72761
73,0.095,90001,CA,93927
74,0.095,60070,IL,60501
75,0.055,35610,AL,36775
76,0.055,81130,CO,81154
77,0.075,35772,AL,36861
78,0.075,72003,AR,72856
79,0.075,95531,CA,96111
80,0.075,80214,CO,81144
81,0.075,32059,FL,34773
82,0.075,60037,IL,62998
83,0.07625,36013,AL,36064
84,0.105,36032,AL,36032
85,0.105,71638,AR,72770
86,0.105,60104,IL,60426
87,0.0775,36458,AL,36578
88,0.0775,71644,AR,72959
89,0.0775,90620,CA,96158
90,0.0775,80110,CO,80151
91,0.0775,30004,GA,31196
92,0.0775,60014,IL,62997
93,0.11,36925,AL,36925
94,0.11,71654,AR,72476
95,0.11,60171,IL,60171
96,0.115,71643,AR,71643
97,0.0975,71652,AR,72945
98,0.0975,94530,CA,94706
99,0.0975,60025,IL,62901
100,0.1125,71701,AR,72364
